,Gender,Age,Annual Income (k$),Spending Score (1-100),Income Cluster,Spending and Income Cluster
142,Female,28,76,40,1,0
143,Female,32,76,87,1,1
144,Male,25,77,12,1,4
145,Male,28,77,97,1,1
146,Male,48,77,36,1,4
147,Female,32,77,74,1,1
148,Female,34,78,22,1,4
149,Male,34,78,90,1,1
150,Male,43,78,17,1,4
151,Male,39,78,88,1,1
152,Female,44,78,20,1,4
153,Female,38,78,76,1,1
154,Female,47,78,16,1,4
155,Female,27,78,89,1,1
156,Male,37,78,1,1,4
157,Female,30,78,78,1,1
158,Male,34,78,1,1,4
159,Female,30,78,73,1,1
160,Female,56,79,35,1,4
161,Female,29,79,83,1,1
162,Male,19,81,5,1,4
163,Female,31,81,93,1,1
164,Male,50,85,26,1,4
165,Female,36,85,75,1,1
166,Male,42,86,20,1,4
167,Female,33,86,95,1,1
168,Female,36,87,27,1,4
169,Male,32,87,63,1,1
170,Male,40,87,13,1,4
171,Male,28,87,75,1,1
172,Male,36,87,10,1,4
173,Male,36,87,92,1,1
174,Female,52,88,13,1,4
175,Female,30,88,86,1,1
176,Male,58,88,15,1,4
177,Male,27,88,69,1,1
178,Male,59,93,14,0,4
179,Male,35,93,90,0,1
180,Female,37,97,32,0,4
181,Female,32,97,86,0,1
182,Male,46,98,15,0,4
183,Female,29,98,88,0,1
184,Female,41,99,39,0,4
185,Male,30,99,97,0,1
186,Female,54,101,24,0,4
187,Male,28,101,68,0,1
188,Female,41,103,17,0,4
189,Female,36,103,85,0,1
190,Female,34,103,23,0,4
191,Female,32,103,69,0,1
192,Male,33,113,8,0,4
193,Female,38,113,91,0,1
194,Female,47,120,16,0,4
195,Female,35,120,79,0,1
196,Female,45,126,28,0,4
197,Male,32,126,74,0,1
198,Male,32,137,18,0,4
199,Male,30,137,83,0,1
